2023-05-15 00:00:46 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.0.Final 
2023-05-15 00:00:46 [restartedMain] INFO  c.v.HelloWorldApplication                          - Starting HelloWorldApplication using Java 11.0.16.1 on Sea with PID 8240 (D:\Lesson 10_ResourceAAAAAAA\Lesson 10_Resource\3. Log4j\2. Example 2\HelloWorld\target\classes started by PC in D:\Lesson 10_ResourceAAAAAAA\Lesson 10_Resource\3. Log4j\2. Example 2\HelloWorld) 
2023-05-15 00:00:46 [restartedMain] INFO  c.v.HelloWorldApplication                          - No active profile set, falling back to default profiles: default 
2023-05-15 00:00:47 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2023-05-15 00:00:47 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2023-05-15 00:00:47 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-05-15 00:00:47 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 40 ms. Found 2 JPA repository interfaces. 
2023-05-15 00:00:48 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-05-15 00:00:48 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-05-15 00:00:48 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-05-15 00:00:48 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.55] 
2023-05-15 00:00:48 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-05-15 00:00:48 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1374 ms 
2023-05-15 00:00:48 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
